male,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore,cat_raceeth_Asian,cat_raceeth_Black,cat_raceeth_Hispanic,cat_raceeth_More than one race,cat_raceeth_Native Hawaiian/Other Pacific Islander,cat_raceeth_White,readingScorePercentile
1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,350,26,0.0,1,1,6694,473.6,0,0,1,0,0,0,0.37620889748549324
1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225,30,1.0,1,0,2748,563.55,0,0,0,0,0,1,0.7350096711798839
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600,30,1.0,1,0,361,472.41,0,0,1,0,0,0,0.37012987012987014
0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,240,26,1.0,0,1,575,513.72,0,0,0,0,0,1,0.5390991986736667
1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,30,1.0,1,0,2340,555.85,0,0,0,0,0,1,0.7066869300911854
1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250,25,1.0,1,0,1913,649.65,0,0,0,0,0,1,0.9463940315004145
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,50,40,1.0,1,1,3592,408.06,0,0,0,0,0,1,0.15473887814313347
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,90,20,1.0,1,0,2569,596.41,0,0,0,0,0,1,0.8397347333517546
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,300,20,1.0,1,1,1937,600.98,0,0,1,0,0,0,0.8494059132357005
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,315,25,1.0,1,0,899,488.43,0,0,1,0,0,0,0.4332688588007737
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270,25,1.0,1,0,1526,490.68,0,1,0,0,0,0,0.44224924012158057
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225,25,1.0,1,0,276,591.57,0,0,0,0,0,1,0.8234318872616745
0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,450,29,1.0,1,0,1079,524.84,0,0,1,0,0,0,0.5873169383807681
0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,225,30,1.0,1,0,1250,444.29,0,0,1,0,0,0,0.2633324122685825
0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,250,30,1.0,1,0,2878,639.55,0,0,0,0,0,1,0.9314727825366124
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225,25,0.0,0,0,1064,532.36,0,0,0,0,0,1,0.6170212765957447
0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,225,25,1.0,1,0,276,453.9,0,0,0,0,0,1,0.2989776181265543
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,225,6,1.0,1,0,1897,494.04,0,1,0,0,0,0,0.45509809339596574
1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200,14,1.0,1,1,2640,506.15,0,1,0,0,0,0,0.5056645482177398
1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,23,1.0,1,0,1173,584.23,0,0,0,0,0,1,0.8061619231831998
0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,460,27,1.0,1,0,1087,637.33,0,0,0,0,0,1,0.9281569494335452
0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,60,32,1.0,1,1,1937,336.17,0,0,1,0,0,0,0.03509256700746063
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,250,31,1.0,1,1,3164,397.84,0,0,0,0,0,0,0.12848853274385189
1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,275,25,1.0,1,0,2000,570.04,0,0,0,0,0,1,0.7579441834760984
1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,225,25,1.0,1,1,1046,505.58,0,0,0,0,0,1,0.5017960762641613
1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,273,23,1.0,1,0,636,550.16,0,0,0,0,0,1,0.6859629731970157
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,270,22,1.0,1,0,196,548.55,0,0,0,0,0,1,0.6814037026802984
0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,900,40,1.0,1,1,2966,540.01,0,0,0,0,0,1,0.6464492953854656
0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225,25,1.0,1,0,1375,497.12,0,0,0,0,0,1,0.4682232660956065
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,205,25,1.0,1,1,673,493.62,0,1,0,0,0,0,0.45302569770654877
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225,18,1.0,0,1,1212,398.24,0,0,0,0,0,1,0.12917933130699089
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200,20,1.0,1,0,1680,589.66,0,0,0,0,0,1,0.819010776457585
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240,17,1.0,0,1,575,608.6,0,0,0,0,0,1,0.8694390715667312
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,450,16,1.0,1,0,3004,514.04,0,0,1,0,0,0,0.5413097540757115
1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225,25,1.0,1,0,1137,409.38,0,0,0,0,0,1,0.159159988947223
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,300,30,1.0,1,1,3261,616.22,0,1,0,0,0,0,0.8891959104725062
0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,273,20,1.0,1,0,276,485.36,0,0,0,0,0,1,0.41876208897485495
1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,260,40,1.0,1,1,3138,481.13,0,0,0,0,0,1,0.4045316385741918
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,300,25,1.0,1,1,1276,426.89,0,1,0,0,0,0,0.2072395689416966
0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225,23,0.0,1,0,1375,511.81,0,0,0,0,0,1,0.5319148936170213
1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,300,30,1.0,1,1,1937,609.56,1,0,0,0,0,0,0.8728930643824261
0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,600,20,1.0,1,1,1720,658.86,0,0,0,0,0,1,0.9571704890853827
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190,25,1.0,1,0,1087,604.36,0,0,0,0,0,1,0.8581099751312518
1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,260,30,1.0,1,1,2149,439.13,0,0,0,0,0,1,0.2428847747996684
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,360,30,1.0,1,1,2886,531.96,0,0,1,0,0,0,0.6145344017684443
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,20,1.0,1,0,820,443.26,0,1,0,0,0,0,0.25946394031500414
0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,315,15,1.0,1,0,149,501.96,0,0,0,0,0,1,0.49019066040342635
1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270,25,1.0,1,0,1471,421.09,0,0,0,0,0,1,0.19024592428847747
1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,344,15,1.0,1,0,247,474.72,0,0,0,0,0,1,0.379801050013816
1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,225,23,1.0,1,0,358,509.67,0,0,0,0,0,1,0.5221055540204477
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,390,30,1.0,1,1,2886,533.9,0,0,1,0,0,0,0.6240674219397624
1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360,30,0.0,1,0,1295,415.24,0,0,0,0,0,0,0.17352859906051396
1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,440,35,0.0,1,1,626,520.26,0,0,0,0,0,1,0.5685272174633876
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,205,30,1.0,1,0,1828,316.63,0,0,0,0,0,1,0.02072395689416966
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,225,20,1.0,1,0,2098,531.24,1,0,0,0,0,0,0.6135672837800498
1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,630,20,1.0,1,0,276,511.6,0,0,0,0,0,1,0.5308096159159988
1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240,20,1.0,1,0,347,421.17,0,0,0,0,0,1,0.19079856313898866
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,420,28,0.0,1,1,626,367.06,0,0,1,0,0,0,0.07267200884222161
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225,20,1.0,1,0,2098,580.45,0,0,0,0,0,1,0.7922077922077922
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225,25,1.0,1,0,854,459.86,0,0,0,0,0,1,0.32205029013539654
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,225,25,1.0,1,1,3000,349.6,1,0,0,0,0,0,0.04973749654600718
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,245,19,1.0,1,1,1095,313.26,0,1,0,0,0,0,0.0182370820668693
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,260,17,1.0,1,0,636,656.95,0,0,0,0,0,1,0.954959933683338
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,340,30,1.0,1,0,979,524.02,0,0,0,0,0,1,0.5828958275766787
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250,15,1.0,0,1,915,656.0,0,0,0,0,0,1,0.9535783365570599
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250,25,1.0,1,0,3004,340.6,0,0,0,0,0,1,0.04006631666206134
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,225,32,1.0,1,0,505,369.38,0,0,0,0,0,1,0.07626416137054436
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275,25,1.0,1,0,2878,683.64,0,0,0,0,0,1,0.9806576402321083
1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,450,10,1.0,1,0,1173,548.88,0,0,0,0,0,1,0.6825089803813208
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,315,25,0.0,1,0,1233,466.54,0,0,0,0,0,1,0.3503730312240951
0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,315,26,1.0,1,1,989,485.2,0,1,0,0,0,0,0.41779497098646035
0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240,28,1.0,1,1,2255,558.13,0,0,1,0,0,0,0.7140093948604587
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84,23,1.0,1,1,3201,388.62,0,0,1,0,0,0,0.10997513125172699
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300,25,1.0,1,0,898,609.08,0,0,0,0,0,1,0.8709588284056369
1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300,20,1.0,1,0,2183,720.03,0,0,0,0,0,1,0.9964078474716772
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,225,30,1.0,1,0,1233,440.65,0,0,0,0,0,1,0.2489638021552915
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,285,36,1.0,1,1,1937,569.88,0,1,0,0,0,0,0.7572533849129593
0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,60,30,1.0,1,1,2942,454.62,0,0,1,0,0,0,0.30243161094224924
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,31,1.0,1,0,2340,626.64,0,0,0,0,0,1,0.9115777839182094
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,258,25,1.0,1,0,1812,528.5,0,0,0,0,0,1,0.6014092290688036
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,375,20,1.0,1,0,1295,520.01,0,0,0,0,0,1,0.5661785023487151
0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275,30,1.0,1,1,2144,522.7,0,0,0,0,0,1,0.5775075987841946
1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,400,20,1.0,1,0,1137,463.42,0,0,0,0,0,1,0.33724785852445427
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,45,13,1.0,1,1,1196,267.57,0,0,1,0,0,0,0.0033158331030671458
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,30,1.0,1,0,898,620.41,0,0,0,0,0,1,0.8959657363912683
0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250,30,1.0,1,1,539,530.56,0,0,1,0,0,0,0.6109422492401215
1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,250,35,1.0,1,1,1095,455.64,0,0,1,0,0,0,0.305332964907433
1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,600,22,1.0,1,0,1680,521.06,0,1,0,0,0,0,0.5712904117159436
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,160,20,1.0,0,1,1212,554.49,0,0,0,0,0,1,0.7018513401492125
1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,250,20,1.0,1,0,1375,677.14,0,0,0,0,0,1,0.9745786128764852
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250,22,1.0,1,0,929,595.53,0,0,0,0,0,1,0.8358662613981763
1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,420,30,1.0,1,0,899,498.93,0,0,0,0,0,1,0.4756838905775076
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,285,30,1.0,1,1,2966,560.34,0,0,0,0,0,1,0.72271345675601
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,140,15,1.0,1,1,1900,583.71,0,0,0,0,0,1,0.8035368886432717
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,235,22,1.0,0,1,356,536.84,0,0,0,0,0,1,0.6342912406742194
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,180,20,1.0,0,1,570,485.92,0,0,1,0,0,0,0.42207792207792205
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270,25,1.0,1,1,2999,677.53,0,0,0,0,0,1,0.9748549323017408
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,300,22,1.0,1,0,899,453.72,0,0,0,0,0,1,0.29731970157502075
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275,21,1.0,1,0,1526,640.03,0,0,0,0,0,1,0.9323017408123792
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,28,1.0,1,0,2569,413.7,0,0,1,0,0,0,0.16952196739430783
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,200,20,1.0,1,0,1137,490.67,0,0,0,0,0,1,0.44169660127106936
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270,21,1.0,1,0,196,609.88,0,0,0,0,0,1,0.874274661508704
1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270,35,1.0,1,1,1734,537.89,0,0,0,0,0,1,0.6389886709035645
0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300,23,1.0,1,0,434,577.27,0,0,0,0,0,1,0.7833655705996132
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250,28,1.0,1,0,2878,465.02,0,1,0,0,0,0,0.34443216358109974
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,720,23,0.0,1,1,2646,305.98,0,0,1,0,0,0,0.01602652666482454
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240,31,1.0,1,0,1087,405.05,0,0,0,0,0,1,0.14865985078751037
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,360,40,1.0,1,1,3201,556.94,0,0,1,0,0,0,0.7100027631942526
1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,375,30,1.0,1,0,1101,517.93,0,0,1,0,0,0,0.5595468361425808
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275,30,1.0,1,1,1937,655.2,0,0,0,0,0,1,0.9519204200055263
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,273,24,0.0,1,0,1750,205.92,0,0,1,0,0,0,0.0005526388505111909
1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,375,20,1.0,1,0,2183,653.81,0,0,0,0,0,1,0.9502625034539928
1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275,18,1.0,1,0,362,544.07,0,0,0,0,0,1,0.6648245371649627
0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,192,13,1.0,1,0,2710,496.8,0,0,0,0,0,1,0.46601271069356176
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,275,26,0.0,1,1,2149,420.85,0,0,1,0,0,0,0.1891406465874551
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200,24,1.0,0,1,1212,519.37,0,0,0,0,0,1,0.5645205857971816
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,30,1.0,1,0,712,702.23,0,0,0,0,0,1,0.9914340978170766
1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,225,25,1.0,1,0,1610,490.27,0,0,0,0,0,0,0.439209726443769
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225,18,0.0,0,1,366,661.56,0,0,0,0,0,1,0.9607626416137054
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270,20,0.0,1,1,502,586.01,0,0,0,0,0,1,0.8098922354241503
0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,30,1.0,1,0,1913,528.5,0,0,0,0,0,1,0.6014092290688036
0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,270,30,1.0,1,1,1937,318.85,0,0,1,0,0,0,0.022105554020447636
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,435,30,1.0,1,0,1317,567.9,0,0,0,0,0,1,0.7491019618679193
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,255,2,1.0,1,0,996,516.41,0,0,1,0,0,0,0.5526388505111909
1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,32,1.0,1,1,1392,430.95,0,1,0,0,0,0,0.2198121027908262
